Composition,Alloy_class,Dataset,temperature(K),Citation,log_H2_W% (max)
Zr1Fe2.5,MIC,Extracted,300,http://dx.doi.org/10.1016/j.ijhydene.2010.06.118,0.9669838461896731
Zr21.5V10Cr7.5Mn8.1Co7.0Y1.0Ni32.2Sn0.3Al0.4,MIC,Extracted,303,http://dx.doi.org/10.1016/j.jallcom.2013.01.125,0.9360933591703349
Zr21.5V10Cr7.5Mn8.1Co6.0Y2.0Ni32.2Sn0.3Al 0.4,MIC,Extracted,303,http://dx.doi.org/10.1016/j.jallcom.2013.01.125,0.9745596399981308
Ti0.45Zr0.38Ni0.17,MIC,Extracted,573,https://doi.org/10.1016/j.ijhydene.2005.04.025,1.172482137234565
V0.75Mo0.25,MIC,Extracted,293,https://doi.org/10.1134/S2075113314010134,1.2237754316221157
V0.6Cr0.4,MIC,Extracted,300,https://doi.org/10.1134/S0020168513020180,1.0296194171811581
V0.7Cr0.3,MIC,Extracted,300,https://doi.org/10.1134/S0020168513020180,1.0647107369924282
V0.375Ti0.25Cr0.30Mn0.075,MIC,Extracted,303,http://dx.doi.org/10.1016/S0925-8388(02)00831-9,1.1631508098056809
Ti1.1Cr1Mn1V0.34Fe0.06,MIC,Extracted,283,https://patents.google.com/patent/AU2020325061A1/en?oq=AU2020325061A1,1.7227665977411035
Ti1.1Cr1Mn1V0.425Fe0.075,MIC,Extracted,283,https://patents.google.com/patent/AU2020325061A1/en?oq=AU2020325061A1,1.6094379124341003
Ti1.1Zr0.2CrMn1V0.34Fe0.06,MIC,Extracted,283,https://patents.google.com/patent/AU2020325061A1/en?oq=AU2020325061A1,1.6094379124341003
Ti1.1Zr0.3CrMn1V0.34Fe0.06,MIC,Extracted,283,https://patents.google.com/patent/AU2020325061A1/en?oq=AU2020325061A1,1.1631508098056809
Ti1.1Zr0.4CrMn1V0.34Fe0.06,MIC,Extracted,283,https://patents.google.com/patent/AU2020325061A1/en?oq=AU2020325061A1,1.0647107369924282
Ti1Mn1.5,MIC,Extracted,283,https://patents.google.com/patent/AU2020325061A1/en?oq=AU2020325061A1,0.6931471805599453
Ti1Mn1.5V0.17Fe0.30,MIC,Extracted,283,https://patents.google.com/patent/AU2020325061A1/en?oq=AU2020325061A1,0.7884573603642702
Ti1Mn1.5V0.255Fe0.045,MIC,Extracted,283,https://patents.google.com/patent/AU2020325061A1/en?oq=AU2020325061A1,1.547562508716013
Ti1Mn1.5V0.34Fe0.06,MIC,Extracted,283,https://patents.google.com/patent/AU2020325061A1/en?oq=AU2020325061A1,1.1939224684724346
Ti0.409Mn0.546V0.045,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.1537315878891892
Ti0.396Mn0.583V0.021,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.1346227261911428
Ti0.391Mn0.566Cr0.043,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.0986122886681098
Ti0.409Mn0.546Cr0.045,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.172482137234565
Ti0.391Mn0.566Fe0.043,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.1019400787607843
Ti0.409Mn0.546Fe0.045,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.1118575154181303
Ti0.391Mn0.566Co0.043,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.0647107369924282
Ti0.409Mn0.546Ni0.045,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.1249295969854831
Ti0.391Mn0.566Cu0.043,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.0681530811834012
Ti0.391Mn0.566Mo0.043,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.0647107369924282
Ti0.409Mn0.546Cr0.023 Fe0.022,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.128171090909654
Ti0.409Mn0.546Ni0.023 Cu0.022,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.1216775615991057
Ti0.409Mn0.546Ni0.022Co0.023,MIC,Extracted,298,https://patents.google.com/patent/US4195989A/en?oq=US4195989,1.1184149159642893
Pd0.825Ni0.1Rh0.075,SS,HydPark,303,DOE_data_url,0.5306282510621704
Pd0.85Ni0.15,SS,HydPark,323,DOE_data_url,0.4054651081081644
Pd0.85Rh0.15,SS,HydPark,323,DOE_data_url,0.5306282510621704
Pd0.8Ag0.2,SS,HydPark,323,DOE_data_url,0.33647223662121295
Pd0.8Rh0.2,SS,HydPark,303,DOE_data_url,0.5877866649021191
Pd0.901Ag0.099,SS,HydPark,298,DOE_data_url,0.4700036292457356
Pd0.90Pt0.10,SS,HydPark,353,DOE_data_url,0.262364264467491
Pd0.90Rh0.05Ni0.05,SS,HydPark,323,DOE_data_url,0.4700036292457356
Pd0.90Rh0.10,SS,HydPark,323,DOE_data_url,0.5877866649021191
Pd0.91Ni0.09,SS,HydPark,323,DOE_data_url,0.4054651081081644
Pd0.925Rh0.075,SS,HydPark,303,DOE_data_url,0.5306282510621704
Pd0.927Ir0.073,SS,HydPark,298,DOE_data_url,0.09531017980432487
Pd0.92Pt0.08,SS,HydPark,353,DOE_data_url,0.33647223662121295
Pd0.92Y0.08,SS,HydPark,573,DOE_data_url,0.4054651081081644
Pd0.942Ir0.058,SS,HydPark,298,DOE_data_url,0.33647223662121295
Pd0.946Pb0.054,SS,HydPark,298,DOE_data_url,0.33647223662121295
Pd0.947Ce0.053,SS,HydPark,298,DOE_data_url,0.262364264467491
Pd0.952Ti0.048,SS,HydPark,373,DOE_data_url,0.33647223662121295
Pd0.95Ag0.05,SS,HydPark,298,DOE_data_url,0.5306282510621704
Pd0.95Co0.05,SS,HydPark,354,DOE_data_url,0.4700036292457356
Pd0.95Cr0.05,SS,HydPark,303,DOE_data_url,0.4700036292457356
Pd0.95Ni0.025Rh0.025,SS,HydPark,323,DOE_data_url,0.5306282510621704
Pd0.95Pt0.05,SS,HydPark,298,DOE_data_url,0.4700036292457356
Pd0.95Rh0.05,SS,HydPark,298,DOE_data_url,0.5306282510621704
Pd0.95Rh0.05,SS,HydPark,323,DOE_data_url,0.5596157879354227
Pd0.95Sc0.05,SS,HydPark,323,DOE_data_url,0.4054651081081644
Pd0.95U0.05,SS,HydPark,381,DOE_data_url,0.262364264467491
Pd0.96Pt0.04,SS,HydPark,353,DOE_data_url,0.4054651081081644
Pd0.972Ir0.028,SS,HydPark,298,DOE_data_url,0.4054651081081644
Pd0.975Mo0.025,SS,HydPark,303,DOE_data_url,0.4054651081081644
Pd0.975Rh0.025,SS,HydPark,303,DOE_data_url,0.5306282510621704
Pd0.98V0.02,SS,HydPark,298,DOE_data_url,0.4054651081081644
Pd0.9Ag0.1,SS,HydPark,323,DOE_data_url,0.4054651081081644
Pd0.9Co0.1,SS,HydPark,353,DOE_data_url,0.4054651081081644
Pd0.9Cu0.1,SS,HydPark,303,DOE_data_url,0.4054651081081644
Pd0.9Ni0.05Rh0.05,SS,HydPark,303,DOE_data_url,0.4700036292457356
Pd0.9Ni0.1,SS,HydPark,323,DOE_data_url,0.4054651081081644
Pd0.9Pt0.1,SS,HydPark,298,DOE_data_url,0.33647223662121295
