log_H2_W% (max),H2_W% (max)
0.932164081,1.5399999999226694
0.932164081,1.5399999999226694
0.928219303,1.530000000659245
1.022450928,1.7800000008269232
1.004301609,1.7299999994625495
0.896088025,1.4500000010862428
0.955511445,1.5999999999286652
0.936093359,1.5499999995656464
1.160020917,2.1900000006483573
0.970778917,1.6399999995822863
0.955511445,1.5999999999286652
1.011600912,1.7500000008841803
0.978326123,1.6600000005490037
0.982078472,1.6699999988995375
0.978326123,1.6600000005490037
0.90825856,1.479999999561311
1.047318994,1.8499999992004064
0.936093359,1.5499999995656464
0.90825856,1.479999999561311
1.036736885,1.8200000001409373
1.011600912,1.7500000008841803
1.004301609,1.7299999994625495
0.940007258,1.559999998741834
1.004301609,1.7299999994625495
0.943905899,1.57000000023868
1.00063188,1.719999999162496
0.982078472,1.6699999988995375
0.963174318,1.6200000005947257
1.036736885,1.8200000001409373
1.040276712,1.8300000009759363
1.036736885,1.8200000001409373
1.156881197,2.180000000661168
0.90825856,1.479999999561311
1.022450928,1.7800000008269232
1.011600912,1.7500000008841803
0.947789399,1.5800000001715029
0.947789399,1.5800000001715029
1.036736885,1.8200000001409373
1.036736885,1.8200000001409373
1.057790294,1.8799999995741787
1.036736885,1.8200000001409373
0.97455964,1.6500000000049533
0.97455964,1.6500000000049533
1.026041596,1.7900000004651648
1.026041596,1.7900000004651648
1.040276712,1.8300000009759363
0.867100488,1.3800000007535473
0.932164081,1.5399999999226694
0.91228271,1.4899999988132255
0.966983846,1.6299999995011594
0.943905899,1.57000000023868
0.91228271,1.4899999988132255
0.932164081,1.5399999999226694
0.951657876,1.5900000007473536
0.978326123,1.6600000005490037
1.115141591,2.0500000011610733
1.16938136,2.2200000014286596
1.088561953,1.970000000550613
0.746687947,1.1099999989703724
0.97455964,1.6500000000049533
1.057790294,1.8799999995741787
0.712949808,1.0400000002935048
1.047318994,1.8499999992004064
0.792992516,1.210000001039448
1.040276712,1.8300000009759363
0.947789399,1.5800000001715029
1.047318994,1.8499999992004064
1.064710737,1.900000000021958
1.156881197,2.180000000661168
1.00795792,1.7399999989040578
0.940007258,1.559999998741834
0.951657876,1.5900000007473536
1.068153081,1.9099999994663026
0.966983846,1.6299999995011594
0.90016135,1.460000000137092
0.970778917,1.6399999995822863
